;;Nationalratswahl vom 01.10.2006 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ÖVP;;;SPÖ;;;FPÖ;;;GRÜNE;;;KPÖ;;;BZÖ;;;MATIN;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenn-Nr.;Bezeichnung;Wahl-berecht.;Wahl-bet. in%;ungült. Stim.;Gültige Stimmen;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;;;;;;;;;;;;;;;;;;;;;;;;
30618;Kottingbrunn                            ;5.230;78,37;70;4.029;960;23,83;-10,72;1.839;45,64;-1,42;509;12,63;4,04;411;10,20;2,45;42;1,04;0,56;102;2,53;2,53;166;4,12;4,12;;;;;;;;;;;;;;;;;;;;;;;;
30620;Leobersdorf                             ;2.982;79,48;46;2.324;578;24,87;-8,41;1.089;46,86;-2,57;282;12,13;3,18;196;8,43;1,66;18;0,77;0,25;65;2,80;2,80;96;4,13;4,13;;;;;;;;;;;;;;;;;;;;;;;;
30621;Mitterndorf an der Fischa               ;1.333;76,74;8;1.015;184;18,13;-6,02;556;54,78;-4,43;143;14,09;4,17;57;5,62;0,55;8;0,79;0,57;32;3,15;3,15;35;3,45;3,45;;;;;;;;;;;;;;;;;;;;;;;;
30623;Oberwaltersdorf                         ;2.591;78,50;26;2.008;526;26,20;-9,21;917;45,67;-2,31;187;9,31;1,48;226;11,25;3,87;18;0,90;0,45;79;3,93;3,93;55;2,74;2,74;;;;;;;;;;;;;;;;;;;;;;;;
30625;Pfaffstätten                            ;2.248;82,83;34;1.828;733;40,10;-6,97;552;30,20;-3,97;151;8,26;1,51;293;16,03;5,40;14;0,77;0,53;43;2,35;2,35;42;2,30;2,30;;;;;;;;;;;;;;;;;;;;;;;;
30626;Pottendorf                              ;4.527;80,05;47;3.577;871;24,35;-10,83;1.847;51,64;1,68;401;11,21;3,86;231;6,46;0,27;27;0,75;0,11;97;2,71;2,71;103;2,88;2,88;;;;;;;;;;;;;;;;;;;;;;;;
30627;Pottenstein                             ;2.102;81,54;24;1.690;454;26,86;-9,62;819;48,46;-0,02;154;9,11;2,18;129;7,63;1,34;18;1,07;0,14;36;2,13;2,13;80;4,73;4,73;;;;;;;;;;;;;;;;;;;;;;;;
30629;Reisenberg                              ;1.106;87,16;15;949;256;26,98;-10,02;489;51,53;0,10;94;9,91;2,75;51;5,37;1,85;6;0,63;0,63;28;2,95;2,95;25;2,63;2,63;;;;;;;;;;;;;;;;;;;;;;;;
30631;Schönau an der Triesting                ;1.390;81,01;23;1.103;261;23,66;-10,97;550;49,86;1,95;117;10,61;1,79;95;8,61;2,02;9;0,82;0,26;28;2,54;2,54;43;3,90;3,90;;;;;;;;;;;;;;;;;;;;;;;;
30633;Seibersdorf                             ;1.051;83,44;17;860;395;45,93;-10,00;263;30,58;-0,68;99;11,51;3,99;55;6,40;2,05;6;0,70;0,23;19;2,21;2,21;23;2,67;2,67;;;;;;;;;;;;;;;;;;;;;;;;
30635;Sooß                                    ;825;84,36;10;686;289;42,13;-10,95;190;27,70;-1,02;69;10,06;3,89;91;13,27;1,99;7;1,02;1,02;15;2,19;2,19;25;3,64;3,64;;;;;;;;;;;;;;;;;;;;;;;;
30636;Tattendorf                              ;919;83,03;16;747;259;34,67;-11,88;309;41,37;3,21;64;8,57;0,59;67;8,97;3,02;6;0,80;0,39;21;2,81;2,81;21;2,81;2,81;;;;;;;;;;;;;;;;;;;;;;;;
30637;Teesdorf                                ;1.203;83,04;12;987;246;24,92;-12,77;536;54,31;2,17;90;9,12;5,30;59;5,98;0,43;15;1,52;1,40;16;1,62;1,62;25;2,53;2,53;;;;;;;;;;;;;;;;;;;;;;;;
30639;Traiskirchen                            ;11.510;78,31;172;8.841;1.899;21,48;-9,44;4.483;50,71;-0,68;1.067;12,07;3,27;757;8,56;1,54;63;0,71;0,18;227;2,57;2,57;345;3,90;3,90;;;;;;;;;;;;;;;;;;;;;;;;
30641;Trumau                                  ;2.013;84,20;21;1.674;376;22,46;-5,73;933;55,73;-2,71;132;7,89;1,45;139;8,30;2,61;18;1,08;0,52;36;2,15;2,15;40;2,39;2,39;;;;;;;;;;;;;;;;;;;;;;;;
30645;Weissenbach an der Triesting            ;1.226;81,32;24;973;346;35,56;-7,10;386;39,67;-2,99;112;11,51;3,86;61;6,27;0,03;7;0,72;0,02;34;3,49;3,49;27;2,77;2,77;;;;;;;;;;;;;;;;;;;;;;;;
30646;Blumau - Neurißhof                      ;1.223;78,58;12;949;208;21,92;-13,67;466;49,10;-0,03;135;14,23;7,26;73;7,69;1,02;7;0,74;0,12;24;2,53;2,53;36;3,79;3,79;;;;;;;;;;;;;;;;;;;;;;;;
307;Bezirk Bruck an der Leitha              ;31.529;81,78;450;25.333;8.729;34,46;-7,49;10.965;43,28;-0,52;2.580;10,18;2,68;1.664;6,57;1,09;189;0,75;0,19;481;1,90;1,90;725;2,86;2,86;;;;;;;;;;;;;;;;;;;;;;;;
30701;Au am Leithaberge                       ;732;80,74;7;584;282;48,29;-10,85;161;27,57;-1,50;73;12,50;3,70;15;2,57;0,74;7;1,20;0,37;18;3,08;3,08;28;4,79;4,79;;;;;;;;;;;;;;;;;;;;;;;;
30702;Bad Deutsch-Altenburg                   ;1.074;81,28;14;859;271;31,55;-8,02;345;40,16;1,72;116;13,50;-2,28;61;7,10;2,25;9;1,05;0,26;30;3,49;3,49;27;3,14;3,14;;;;;;;;;;;;;;;;;;;;;;;;
30703;Berg                                    ;529;88,09;8;458;177;38,65;-5,51;223;48,69;4,98;36;7,86;1,22;16;3,49;-0,40;0;0,00;-0,23;5;1,09;1,09;1;0,22;0,22;;;;;;;;;;;;;;;;;;;;;;;;
30704;Bruck an der Leitha                     ;5.839;78,06;94;4.464;1.315;29,46;-7,28;2.072;46,42;-0,53;429;9,61;2,39;406;9,09;1,35;37;0,83;0,35;77;1,72;1,72;128;2,87;2,87;;;;;;;;;;;;;;;;;;;;;;;;
30706;Enzersdorf an der Fischa                ;2.200;81,82;30;1.770;541;30,56;-8,33;819;46,27;-0,27;191;10,79;3,98;124;7,01;0,26;14;0,79;0,45;24;1,36;1,36;57;3,22;3,22;;;;;;;;;;;;;;;;;;;;;;;;
30708;Göttlesbrunn - Arbesthal                ;1.074;86,41;17;911;506;55,54;-7,88;224;24,59;0,09;64;7,03;0,21;52;5,71;1,68;8;0,88;0,21;27;2,96;2,96;30;3,29;3,29;;;;;;;;;;;;;;;;;;;;;;;;
30709;Götzendorf an der Leitha                ;1.392;83,05;18;1.138;321;28,21;-9,33;558;49,03;-2,89;132;11,60;6,72;73;6,41;2,14;10;0,88;0,53;18;1,58;1,58;26;2,28;2,28;;;;;;;;;;;;;;;;;;;;;;;;
30710;Hainburg a. d. Donau                    ;4.071;74,65;47;2.992;914;30,55;-8,81;1.213;40,54;-3,34;413;13,80;4,63;224;7,49;2,28;26;0,87;-0,46;71;2,37;2,37;131;4,38;4,38;;;;;;;;;;;;;;;;;;;;;;;;
30711;Haslau - Maria Ellend                   ;1.243;84,88;11;1.044;324;31,03;-10,40;481;46,07;2,55;101;9,67;2,86;87;8,33;1,30;8;0,77;0,44;21;2,01;2,01;22;2,11;2,11;;;;;;;;;;;;;;;;;;;;;;;;
30712;Höflein                                 ;854;87,82;11;739;379;51,29;-8,41;217;29,36;1,60;70;9,47;0,98;33;4,47;1,37;0;0,00;-0,40;18;2,44;2,44;22;2,98;2,98;;;;;;;;;;;;;;;;;;;;;;;;
30713;Hof am Leithaberge                      ;1.073;86,67;11;919;340;37,00;-10,86;357;38,85;-2,18;114;12,40;5,56;35;3,81;0,71;6;0,65;0,33;34;3,70;3,70;33;3,59;3,59;;;;;;;;;;;;;;;;;;;;;;;;
30715;Hundsheim                               ;449;87,75;3;391;111;28,39;-8,33;201;51,41;2,28;40;10,23;1,55;14;3,58;-1,13;2;0,51;0,26;5;1,28;1,28;18;4,60;4,60;;;;;;;;;;;;;;;;;;;;;;;;
