GKZ;Gebietsname;Wahlbe-rechtigte;Stimmen;Ungültige;Gültige;ÖVP;%;SPÖ;%;FPÖ;%;NEOS;%;JETZT;%;GRÜNE;%;KPÖ;%;WANDL;%;BZÖ;%;BIER;%;CPÖ;%;GILT;%;SLP;%
G61410;Mühlen;746;551;13;538;220;40,89;153;28,44;104;19,33;22;4,09;3;0,56;35;6,51;0;0,00;1;0,19;;0,00;;0,00;;0,00;;0,00;;0,00
G61413;Niederwölz;476;297;3;294;153;52,04;58;19,73;50;17,01;17;5,78;1;0,34;13;4,42;2;0,68;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G61425;St. Peter am Kammersberg;1.701;1.038;6;1.032;513;49,71;278;26,94;143;13,86;46;4,46;9;0,87;40;3,88;3;0,29;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G61428;Schöder;783;501;3;498;250;50,20;108;21,69;85;17,07;22;4,42;3;0,60;26;5,22;3;0,60;1;0,20;;0,00;;0,00;;0,00;;0,00;;0,00
G61437;Krakau;1.205;809;7;802;466;58,10;130;16,21;147;18,33;30;3,74;7;0,87;18;2,24;2;0,25;2;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G61438;Murau;2.977;1.642;17;1.625;840;51,69;248;15,26;260;16,00;99;6,09;23;1,42;138;8,49;9;0,55;8;0,49;;0,00;;0,00;;0,00;;0,00;;0,00
G61439;Neumarkt in der Steiermark;4.154;2.332;29;2.303;977;42,42;427;18,54;560;24,32;129;5,60;34;1,48;157;6,82;14;0,61;5;0,22;;0,00;;0,00;;0,00;;0,00;;0,00
G61440;Oberwölz;2.475;1.574;23;1.551;900;58,03;237;15,28;263;16,96;66;4,26;15;0,97;59;3,80;5;0,32;6;0,39;;0,00;;0,00;;0,00;;0,00;;0,00
G61441;Ranten;987;665;7;658;403;61,25;99;15,05;91;13,83;30;4,56;7;1,06;27;4,10;0;0,00;1;0,15;;0,00;;0,00;;0,00;;0,00;;0,00
G61442;Sankt Georgen am Kreischberg;1.406;782;4;778;414;53,21;102;13,11;167;21,47;35;4,50;7;0,90;49;6,30;4;0,51;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G61443;Sankt Lambrecht;1.510;920;7;913;408;44,69;239;26,18;153;16,76;48;5,26;8;0,88;53;5,81;3;0,33;1;0,11;;0,00;;0,00;;0,00;;0,00;;0,00
G61444;Scheifling;1.754;959;7;952;410;43,07;190;19,96;229;24,05;55;5,78;9;0,95;50;5,25;5;0,53;4;0,42;;0,00;;0,00;;0,00;;0,00;;0,00
G61445;Stadl-Predlitz;1.394;880;13;867;372;42,91;254;29,30;173;19,95;36;4,15;5;0,58;24;2,77;3;0,35;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G61446;Teufenbach-Katsch;1.549;929;20;909;399;43,89;196;21,56;183;20,13;62;6,82;11;1,21;46;5,06;8;0,88;4;0,44;;0,00;;0,00;;0,00;;0,00;;0,00
G61499;Wahlkarten - Murau;0;3.989;57;3.932;1.857;47,23;715;18,18;623;15,84;277;7,04;43;1,09;387;9,84;21;0,53;9;0,23;;0,00;;0,00;;0,00;;0,00;;0,00
G61600;Voitsberg;42.717;31.038;316;30.722;11.194;36,44;7.240;23,57;7.167;23,33;1.686;5,49;464;1,51;2.477;8,06;384;1,25;110;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G61611;Krottendorf-Gaisfeld;2.075;1.323;7;1.316;590;44,83;238;18,09;263;19,98;81;6,16;24;1,82;106;8,05;7;0,53;7;0,53;;0,00;;0,00;;0,00;;0,00;;0,00
G61612;Ligist;2.719;1.736;17;1.719;673;39,15;309;17,98;432;25,13;100;5,82;18;1,05;166;9,66;16;0,93;5;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G61615;Mooskirchen;1.797;1.043;11;1.032;486;47,09;136;13,18;241;23,35;69;6,69;9;0,87;70;6,78;17;1,65;4;0,39;;0,00;;0,00;;0,00;;0,00;;0,00
G61618;Rosental an der Kainach;1.412;855;8;847;216;25,50;298;35,18;219;25,86;32;3,78;10;1,18;44;5,19;25;2,95;3;0,35;;0,00;;0,00;;0,00;;0,00;;0,00
G61621;Sankt Martin am Wöllmißberg;693;450;5;445;211;47,42;93;20,90;101;22,70;18;4,04;3;0,67;16;3,60;1;0,22;2;0,45;;0,00;;0,00;;0,00;;0,00;;0,00
G61624;Stallhofen;2.586;1.604;24;1.580;699;44,24;196;12,41;460;29,11;76;4,81;21;1,33;108;6,84;14;0,89;6;0,38;;0,00;;0,00;;0,00;;0,00;;0,00
G61625;Voitsberg;7.829;4.540;44;4.496;1.297;28,85;1.289;28,67;1.128;25,09;220;4,89;76;1,69;394;8,76;81;1,80;11;0,24;;0,00;;0,00;;0,00;;0,00;;0,00
G61626;Bärnbach;4.638;2.822;35;2.787;836;30,00;825;29,60;662;23,75;142;5,10;54;1,94;207;7,43;47;1,69;14;0,50;;0,00;;0,00;;0,00;;0,00;;0,00
G61627;Edelschrott;1.477;849;7;842;450;53,44;124;14,73;181;21,50;30;3,56;18;2,14;33;3,92;4;0,48;2;0,24;;0,00;;0,00;;0,00;;0,00;;0,00
G61628;Geistthal-Södingberg;1.295;782;9;773;367;47,48;147;19,02;195;25,23;17;2,20;4;0,52;41;5,30;2;0,26;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G61629;Hirschegg-Pack;889;572;7;565;320;56,64;70;12,39;124;21,95;28;4,96;5;0,88;14;2,48;3;0,53;1;0,18;;0,00;;0,00;;0,00;;0,00;;0,00
G61630;Kainach bei Voitsberg;1.353;900;13;887;356;40,14;199;22,44;222;25,03;34;3,83;11;1,24;57;6,43;6;0,68;2;0,23;;0,00;;0,00;;0,00;;0,00;;0,00
G61631;Köflach;8.247;5.195;59;5.136;1.611;31,37;1.409;27,43;1.334;25,97;252;4,91;93;1,81;344;6,70;77;1,50;16;0,31;;0,00;;0,00;;0,00;;0,00;;0,00
G61632;Maria Lankowitz;2.382;1.433;25;1.408;472;33,52;375;26,63;357;25,36;68;4,83;19;1,35;101;7,17;13;0,92;3;0,21;;0,00;;0,00;;0,00;;0,00;;0,00
G61633;Söding-Sankt Johann;3.325;1.864;12;1.852;795;42,93;307;16,58;374;20,19;147;7,94;26;1,40;167;9,02;22;1,19;14;0,76;;0,00;;0,00;;0,00;;0,00;;0,00
G61699;Wahlkarten - Voitsberg;0;5.070;33;5.037;1.815;36,03;1.225;24,32;874;17,35;372;7,39;73;1,45;609;12,09;49;0,97;20;0,40;;0,00;;0,00;;0,00;;0,00;;0,00
G61700;Weiz;72.629;55.799;669;55.130;24.400;44,26;8.985;16,30;10.940;19,84;3.276;5,94;678;1,23;6.146;11,15;493;0,89;212;0,38;;0,00;;0,00;;0,00;;0,00;;0,00
G61701;Albersdorf-Prebuch;1.663;1.119;7;1.112;463;41,64;151;13,58;243;21,85;91;8,18;20;1,80;128;11,51;13;1,17;3;0,27;;0,00;;0,00;;0,00;;0,00;;0,00
G61708;Fischbach;1.273;935;16;919;429;46,68;155;16,87;237;25,79;52;5,66;9;0,98;27;2,94;3;0,33;7;0,76;;0,00;;0,00;;0,00;;0,00;;0,00
G61710;Floing;978;633;8;625;306;48,96;110;17,60;140;22,40;25;4,00;7;1,12;34;5,44;2;0,32;1;0,16;;0,00;;0,00;;0,00;;0,00;;0,00
G61711;Gasen;726;564;11;553;333;60,22;98;17,72;59;10,67;20;3,62;6;1,08;31;5,61;4;0,72;2;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G61716;Markt Hartmannsdorf;2.381;1.588;20;1.568;740;47,19;134;8,55;344;21,94;117;7,46;30;1,91;187;11,93;12;0,77;4;0,26;;0,00;;0,00;;0,00;;0,00;;0,00
G61719;Hofstätten an der Raab;1.797;1.123;11;1.112;492;44,24;129;11,60;229;20,59;74;6,65;19;1,71;154;13,85;8;0,72;7;0,63;;0,00;;0,00;;0,00;;0,00;;0,00
G61727;Ludersdorf-Wilfersdorf;1.896;1.152;15;1.137;426;37,47;168;14,78;249;21,90;76;6,68;22;1,93;174;15,30;14;1,23;8;0,70;;0,00;;0,00;;0,00;;0,00;;0,00
G61728;Miesenbach bei Birkfeld;582;468;12;456;233;51,10;68;14,91;104;22,81;26;5,70;3;0,66;18;3,95;3;0,66;1;0,22;;0,00;;0,00;;0,00;;0,00;;0,00
G61729;Mitterdorf an der Raab;1.720;1.162;20;1.142;519;45,45;206;18,04;209;18,30;60;5,25;18;1,58;107;9,37;17;1,49;6;0,53;;0,00;;0,00;;0,00;;0,00;;0,00
G61730;Mortantsch;1.719;1.209;14;1.195;497;41,59;252;21,09;209;17,49;87;7,28;20;1,67;115;9,62;10;0,84;5;0,42;;0,00;;0,00;;0,00;;0,00;;0,00
G61731;Naas;1.149;779;12;767;399;52,02;117;15,25;157;20,47;24;3,13;5;0,65;62;8,08;1;0,13;2;0,26;;0,00;;0,00;;0,00;;0,00;;0,00
G61740;Puch bei Weiz;1.698;1.088;20;1.068;528;49,44;155;14,51;208;19,48;62;5,81;10;0,94;87;8,15;15;1,40;3;0,28;;0,00;;0,00;;0,00;;0,00;;0,00
G61741;Ratten;939;633;8;625;324;51,84;155;24,80;95;15,20;17;2,72;12;1,92;22;3,52;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G61743;Rettenegg;596;409;5;404;215;53,22;91;22,52;62;15,35;13;3,22;6;1,49;15;3,71;1;0,25;1;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G61744;St. Kathrein am Hauenstein;524;399;3;396;198;50,00;82;20,71;78;19,70;16;4,04;5;1,26;14;3,54;2;0,51;1;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G61745;Sankt Kathrein am Offenegg;908;635;11;624;346;55,45;99;15,87;110;17,63;20;3,21;3;0,48;40;6,41;3;0,48;3;0,48;;0,00;;0,00;;0,00;;0,00;;0,00
G61746;St. Margarethen an der Raab;3.308;2.147;26;2.121;1.003;47,29;263;12,40;440;20,74;114;5,37;25;1,18;253;11,93;12;0,57;11;0,52;;0,00;;0,00;;0,00;;0,00;;0,00
G61748;Sinabelkirchen;3.363;2.207;31;2.176;973;44,72;231;10,62;639;29,37;87;4,00;23;1,06;201;9,24;11;0,51;11;0,51;;0,00;;0,00;;0,00;;0,00;;0,00
G61750;Strallegg;1.553;1.209;10;1.199;677;56,46;163;13,59;272;22,69;46;3,84;3;0,25;29;2,42;6;0,50;3;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G61751;Thannhausen;1.965;1.314;20;1.294;638;49,30;215;16,62;218;16,85;63;4,87;13;1,00;133;10,28;13;1,00;1;0,08;;0,00;;0,00;;0,00;;0,00;;0,00
G61756;Anger;3.383;2.338;35;2.303;1.135;49,28;416;18,06;420;18,24;107;4,65;18;0,78;190;8,25;13;0,56;4;0,17;;0,00;;0,00;;0,00;;0,00;;0,00
G61757;Birkfeld;4.192;2.763;35;2.728;1.364;50,00;358;13,12;681;24,96;103;3,78;20;0,73;179;6,56;18;0,66;5;0,18;;0,00;;0,00;;0,00;;0,00;;0,00
G61758;Fladnitz an der Teichalm;1.478;1.095;15;1.080;591;54,72;102;9,44;240;22,22;53;4,91;4;0,37;80;7,41;7;0,65;3;0,28;;0,00;;0,00;;0,00;;0,00;;0,00
G61759;Gersdorf an der Feistritz;1.399;1.032;11;1.021;564;55,24;61;5,97;261;25,56;41;4,02;12;1,18;75;7,35;6;0,59;1;0,10;;0,00;;0,00;;0,00;;0,00;;0,00
G61760;Gleisdorf;8.469;4.672;45;4.627;1.921;41,52;605;13,08;811;17,53;356;7,69;70;1,51;798;17,25;46;0,99;20;0,43;;0,00;;0,00;;0,00;;0,00;;0,00
G61761;Gutenberg-Stenzengreith;1.455;941;11;930;351;37,74;202;21,72;178;19,14;48;5,16;15;1,61;128;13,76;8;0,86;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G61762;Ilztal;1.784;1.225;13;1.212;592;48,84;134;11,06;271;22,36;74;6,11;13;1,07;112;9,24;9;0,74;7;0,58;;0,00;;0,00;;0,00;;0,00;;0,00
G61763;Passail;3.495;2.413;24;2.389;1.212;50,73;421;17,62;462;19,34;87;3,64;17;0,71;169;7,07;15;0,63;6;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G61764;Pischelsdorf am Kulm;3.004;1.971;28;1.943;848;43,64;241;12,40;525;27,02;89;4,58;25;1,29;181;9,32;21;1,08;13;0,67;;0,00;;0,00;;0,00;;0,00;;0,00
G61765;Sankt Ruprecht an der Raab;4.234;2.676;44;2.632;1.135;43,12;306;11,63;641;24,35;184;6,99;32;1,22;303;11,51;19;0,72;12;0,46;;0,00;;0,00;;0,00;;0,00;;0,00
G61766;Weiz;8.998;5.268;68;5.200;1.665;32,02;1.580;30,38;772;14,85;344;6,62;80;1,54;689;13,25;49;0,94;21;0,40;;0,00;;0,00;;0,00;;0,00;;0,00
G61799;Wahlkarten - Weiz;0;8.632;60;8.572;3.283;38,30;1.517;17,70;1.376;16,05;700;8,17;113;1,32;1.411;16,46;132;1,54;40;0,47;;0,00;;0,00;;0,00;;0,00;;0,00
G62000;Murtal;58.084;42.479;408;42.071;15.735;37,40;11.767;27,97;7.762;18,45;2.322;5,52;667;1,59;3.084;7,33;613;1,46;121;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G62007;Fohnsdorf;6.457;3.589;30;3.559;1.080;30,35;1.146;32,20;791;22,23;173;4,86;63;1,77;202;5,68;94;2,64;10;0,28;;0,00;;0,00;;0,00;;0,00;;0,00
G62008;Gaal;1.114;770;6;764;466;60,99;117;15,31;107;14,01;30;3,93;5;0,65;36;4,71;2;0,26;1;0,13;;0,00;;0,00;;0,00;;0,00;;0,00
G62010;Hohentauern;350;222;3;219;87;39,73;76;34,70;38;17,35;9;4,11;1;0,46;6;2,74;1;0,46;1;0,46;;0,00;;0,00;;0,00;;0,00;;0,00
G62014;Kobenz;1.568;959;14;945;415;43,92;176;18,62;153;16,19;78;8,25;18;1,90;97;10,26;6;0,63;2;0,21;;0,00;;0,00;;0,00;;0,00;;0,00
G62021;Pusterwald;374;259;4;255;151;59,22;47;18,43;45;17,65;7;2,75;0;0,00;5;1,96;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G62026;Sankt Georgen ob Judenburg;706;441;5;436;213;48,85;94;21,56;56;12,84;29;6,65;5;1,15;34;7,80;5;1,15;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G62032;Sankt Peter ob Judenburg;898;619;6;613;333;54,32;113;18,43;88;14,36;28;4,57;12;1,96;33;5,38;5;0,82;1;0,16;;0,00;;0,00;;0,00;;0,00;;0,00
G62034;Seckau;1.065;726;6;720;420;58,33;115;15,97;101;14,03;39;5,42;3;0,42;38;5,28;3;0,42;1;0,14;;0,00;;0,00;;0,00;;0,00;;0,00
G62036;Unzmarkt-Frauenburg;1.115;680;6;674;276;40,95;165;24,48;143;21,22;36;5,34;3;0,45;42;6,23;7;1,04;2;0,30;;0,00;;0,00;;0,00;;0,00;;0,00
G62038;Zeltweg;5.537;3.086;31;3.055;858;28,09;1.049;34,34;696;22,78;146;4,78;53;1,73;180;5,89;59;1,93;14;0,46;;0,00;;0,00;;0,00;;0,00;;0,00
G62039;Lobmingtal;1.504;897;10;887;366;41,26;221;24,92;168;18,94;47;5,30;9;1,01;67;7,55;7;0,79;2;0,23;;0,00;;0,00;;0,00;;0,00;;0,00
G62040;Judenburg;8.068;4.267;46;4.221;1.325;31,39;1.316;31,18;866;20,52;227;5,38;78;1,85;312;7,39;84;1,99;13;0,31;;0,00;;0,00;;0,00;;0,00;;0,00
G62041;Knittelfeld;9.073;4.820;55;4.765;1.255;26,34;1.704;35,76;1.025;21,51;196;4,11;110;2,31;356;7,47;107;2,25;12;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G62042;Obdach;3.159;1.924;22;1.902;1.025;53,89;332;17,46;317;16,67;97;5,10;22;1,16;95;4,99;11;0,58;3;0,16;;0,00;;0,00;;0,00;;0,00;;0,00
G62043;Pöls-Oberkurzheim;2.522;1.414;14;1.400;539;38,50;456;32,57;250;17,86;54;3,86;17;1,21;71;5,07;7;0,50;6;0,43;;0,00;;0,00;;0,00;;0,00;;0,00
G62044;Pölstal;2.227;1.410;10;1.400;670;47,86;281;20,07;289;20,64;66;4,71;14;1,00;66;4,71;12;0,86;2;0,14;;0,00;;0,00;;0,00;;0,00;;0,00
G62045;Sankt Marein-Feistritz;1.635;1.043;6;1.037;427;41,18;218;21,02;204;19,67;64;6,17;11;1,06;104;10,03;9;0,87;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G62046;Sankt Margarethen bei Knittelfeld;2.250;1.427;21;1.406;622;44,24;336;23,90;244;17,35;76;5,41;26;1,85;84;5,97;15;1,07;3;0,21;;0,00;;0,00;;0,00;;0,00;;0,00
G62047;Spielberg;4.430;2.685;20;2.665;931;34,93;837;31,41;524;19,66;115;4,32;44;1,65;163;6,12;43;1,61;8;0,30;;0,00;;0,00;;0,00;;0,00;;0,00
G62048;Weißkirchen in Steiermark;4.032;2.529;25;2.504;1.229;49,08;488;19,49;398;15,89;169;6,75;21;0,84;179;7,15;11;0,44;9;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G62099;Wahlkarten - Murtal;0;8.712;68;8.644;3.047;35,25;2.480;28,69;1.259;14,57;636;7,36;152;1,76;914;10,57;125;1,45;31;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G62100;Bruck-Mürzzuschlag;79.291;58.705;676;58.029;19.627;33,82;17.458;30,08;10.525;18,14;3.318;5,72;1.083;1,87;4.937;8,51;841;1,45;240;0,41;;0,00;;0,00;;0,00;;0,00;;0,00
G62105;Breitenau am Hochlantsch;1.398;864;19;845;385;45,56;265;31,36;134;15,86;28;3,31;12;1,42;18;2,13;3;0,36;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G62115;Krieglach;4.464;2.630;44;2.586;1.010;39,06;574;22,20;511;19,76;179;6,92;45;1,74;218;8,43;28;1,08;21;0,81;;0,00;;0,00;;0,00;;0,00;;0,00
G62116;Langenwang;3.301;1.891;21;1.870;845;45,19;359;19,20;375;20,05;124;6,63;20;1,07;124;6,63;18;0,96;5;0,27;;0,00;;0,00;;0,00;;0,00;;0,00
G62125;Pernegg an der Mur;1.947;1.292;22;1.270;423;33,31;374;29,45;238;18,74;71;5,59;23;1,81;114;8,98;21;1,65;6;0,47;;0,00;;0,00;;0,00;;0,00;;0,00
G62128;Sankt Lorenzen im Mürztal;2.931;1.692;17;1.675;621;37,07;419;25,01;312;18,63;122;7,28;38;2,27;145;8,66;13;0,78;5;0,30;;0,00;;0,00;;0,00;;0,00;;0,00
G62131;Spital am Semmering;1.260;794;8;786;314;39,95;188;23,92;183;23,28;32;4,07;12;1,53;39;4,96;15;1,91;3;0,38;;0,00;;0,00;;0,00;;0,00;;0,00
G62132;Stanz im Mürztal;1.530;987;10;977;422;43,19;291;29,79;164;16,79;40;4,09;10;1,02;38;3,89;10;1,02;2;0,20;;0,00;;0,00;;0,00;;0,00;;0,00
G62135;Turnau;1.312;907;7;900;330;36,67;284;31,56;172;19,11;56;6,22;11;1,22;41;4,56;4;0,44;2;0,22;;0,00;;0,00;;0,00;;0,00;;0,00
G62138;Aflenz;2.055;1.254;7;1.247;512;41,06;276;22,13;186;14,92;81;6,50;22;1,76;157;12,59;8;0,64;5;0,40;;0,00;;0,00;;0,00;;0,00;;0,00
G62139;Bruck an der Mur;12.660;7.256;96;7.160;2.297;32,08;2.124;29,66;1.314;18,35;420;5,87;143;2,00;706;9,86;120;1,68;36;0,50;;0,00;;0,00;;0,00;;0,00;;0,00
G62140;Kapfenberg;16.522;8.784;80;8.704;2.419;27,79;3.026;34,77;1.846;21,21;385;4,42;182;2,09;649;7,46;167;1,92;30;0,34;;0,00;;0,00;;0,00;;0,00;;0,00
G62141;Kindberg;6.853;4.013;59;3.954;1.369;34,62;1.307;33,06;659;16,67;186;4,70;83;2,10;288;7,28;42;1,06;20;0,51;;0,00;;0,00;;0,00;;0,00;;0,00
G62142;Mariazell;3.089;1.822;27;1.795;773;43,06;490;27,30;320;17,83;83;4,62;20;1,11;96;5,35;11;0,61;2;0,11;;0,00;;0,00;;0,00;;0,00;;0,00
G62143;Mürzzuschlag;6.700;3.612;42;3.570;1.025;28,71;1.214;34,01;688;19,27;164;4,59;63;1,76;314;8,80;96;2,69;6;0,17;;0,00;;0,00;;0,00;;0,00;;0,00
G62144;Neuberg an der Mürz;2.064;1.238;11;1.227;515;41,97;274;22,33;272;22,17;69;5,62;15;1,22;72;5,87;6;0,49;4;0,33;;0,00;;0,00;;0,00;;0,00;;0,00
G62145;Sankt Barbara im Mürztal;5.582;3.111;42;3.069;973;31,70;1.005;32,75;657;21,41;129;4,20;67;2,18;175;5,70;52;1,69;11;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G62146;Sankt Marein im Mürztal;2.095;1.301;19;1.282;422;32,92;346;26,99;292;22,78;75;5,85;25;1,95;108;8,42;12;0,94;2;0,16;;0,00;;0,00;;0,00;;0,00;;0,00
G62147;Thörl;1.943;1.194;19;1.175;368;31,32;434;36,94;210;17,87;51;4,34;12;1,02;82;6,98;16;1,36;2;0,17;;0,00;;0,00;;0,00;;0,00;;0,00
G62148;Tragöß-Sankt Katharein;1.585;994;13;981;394;40,16;259;26,40;199;20,29;53;5,40;41;4,18;28;2,85;7;0,71;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G62199;Wahlkarten - Bruck-Mürzzuschlag;0;13.069;113;12.956;4.210;32,49;3.949;30,48;1.793;13,84;970;7,49;239;1,84;1.525;11,77;192;1,48;78;0,60;;0,00;;0,00;;0,00;;0,00;;0,00
G62200;Hartberg-Fürstenfeld;74.303;58.024;663;57.361;28.611;49,88;7.196;12,55;12.583;21,94;2.947;5,14;596;1,04;4.963;8,65;285;0,50;180;0,31;;0,00;;0,00;;0,00;;0,00;;0,00
G62202;Bad Blumau;1.302;923;15;908;445;49,01;72;7,93;254;27,97;49;5,40;12;1,32;70;7,71;4;0,44;2;0,22;;0,00;;0,00;;0,00;;0,00;;0,00
G62205;Buch-St. Magdalena;1.812;1.293;11;1.282;661;51,56;130;10,14;333;25,98;51;3,98;13;1,01;83;6,47;7;0,55;4;0,31;;0,00;;0,00;;0,00;;0,00;;0,00
G62206;Burgau;846;538;7;531;269;50,66;97;18,27;102;19,21;27;5,08;4;0,75;30;5,65;2;0,38;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G62209;Ebersdorf;1.053;750;13;737;382;51,83;64;8,68;220;29,85;25;3,39;2;0,27;40;5,43;4;0,54;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G62211;Friedberg;2.148;1.416;20;1.396;620;44,41;300;21,49;287;20,56;59;4,23;21;1,50;98;7,02;7;0,50;4;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G62214;Greinbach;1.477;1.080;12;1.068;566;53,00;108;10,11;297;27,81;39;3,65;4;0,37;49;4,59;2;0,19;3;0,28;;0,00;;0,00;;0,00;;0,00;;0,00
G62216;Großsteinbach;1.060;757;12;745;426;57,18;47;6,31;160;21,48;35;4,70;8;1,07;62;8,32;5;0,67;2;0,27;;0,00;;0,00;;0,00;;0,00;;0,00
G62219;Hartberg;5.333;3.151;37;3.114;1.458;46,82;327;10,50;600;19,27;215;6,90;41;1,32;440;14,13;22;0,71;11;0,35;;0,00;;0,00;;0,00;;0,00;;0,00
G62220;Hartberg Umgebung;1.757;1.263;11;1.252;752;60,06;63;5,03;260;20,77;64;5,11;5;0,40;102;8,15;3;0,24;3;0,24;;0,00;;0,00;;0,00;;0,00;;0,00
G62226;Lafnitz;1.141;823;14;809;335;41,41;188;23,24;205;25,34;30;3,71;6;0,74;42;5,19;2;0,25;1;0,12;;0,00;;0,00;;0,00;;0,00;;0,00
G62232;Ottendorf an der Rittschein;1.302;810;8;802;422;52,62;92;11,47;184;22,94;38;4,74;3;0,37;53;6,61;6;0,75;4;0,50;;0,00;;0,00;;0,00;;0,00;;0,00
G62233;Pinggau;2.555;1.696;27;1.669;845;50,63;223;13,36;417;24,99;74;4,43;21;1,26;81;4,85;6;0,36;2;0,12;;0,00;;0,00;;0,00;;0,00;;0,00
G62235;Pöllauberg;1.724;1.246;9;1.237;744;60,15;120;9,70;251;20,29;37;2,99;7;0,57;69;5,58;6;0,49;3;0,24;;0,00;;0,00;;0,00;;0,00;;0,00
G62242;Sankt Jakob im Walde;866;606;5;601;372;61,90;80;13,31;96;15,97;18;3,00;5;0,83;25;4,16;5;0,83;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G62244;Sankt Johann in der Haide;1.796;1.173;15;1.158;503;43,44;188;16,23;315;27,20;36;3,11;12;1,04;98;8,46;3;0,26;3;0,26;;0,00;;0,00;;0,00;;0,00;;0,00
G62245;Sankt Lorenzen am Wechsel;1.261;895;15;880;464;52,73;110;12,50;188;21,36;57;6,48;6;0,68;51;5,80;2;0,23;2;0,23;;0,00;;0,00;;0,00;;0,00;;0,00
G62247;Schäffern;1.098;823;15;808;515;63,74;54;6,68;173;21,41;30;3,71;4;0,50;27;3,34;3;0,37;2;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G62252;Söchau;1.212;783;5;778;398;51,16;90;11,57;178;22,88;31;3,98;12;1,54;62;7,97;4;0,51;3;0,39;;0,00;;0,00;;0,00;;0,00;;0,00
G62256;Stubenberg;1.830;1.124;16;1.108;589;53,16;123;11,10;228;20,58;50;4,51;17;1,53;97;8,75;3;0,27;1;0,09;;0,00;;0,00;;0,00;;0,00;;0,00
G62262;Wenigzell;1.146;828;6;822;517;62,90;69;8,39;138;16,79;29;3,53;5;0,61;59;7,18;3;0,36;2;0,24;;0,00;;0,00;;0,00;;0,00;;0,00
G62264;Bad Waltersdorf;3.125;2.178;43;2.135;1.100;51,52;190;8,90;512;23,98;113;5,29;21;0,98;180;8,43;9;0,42;10;0,47;;0,00;;0,00;;0,00;;0,00;;0,00
G62265;Dechantskirchen;1.699;1.187;20;1.167;569;48,76;234;20,05;214;18,34;55;4,71;10;0,86;78;6,68;1;0,09;6;0,51;;0,00;;0,00;;0,00;;0,00;;0,00
G62266;Feistritztal;1.995;1.259;20;1.239;547;44,15;188;15,17;310;25,02;60;4,84;16;1,29;108;8,72;3;0,24;7;0,56;;0,00;;0,00;;0,00;;0,00;;0,00
G62267;Fürstenfeld;6.929;4.130;33;4.097;1.871;45,67;574;14,01;828;20,21;250;6,10;71;1,73;454;11,08;27;0,66;22;0,54;;0,00;;0,00;;0,00;;0,00;;0,00
G62268;Grafendorf bei Hartberg;2.595;1.834;24;1.810;989;54,64;163;9,01;434;23,98;77;4,25;15;0,83;122;6,74;6;0,33;4;0,22;;0,00;;0,00;;0,00;;0,00;;0,00
G62269;Großwilfersdorf;1.678;1.078;15;1.063;602;56,63;92;8,65;201;18,91;58;5,46;13;1,22;86;8,09;6;0,56;5;0,47;;0,00;;0,00;;0,00;;0,00;;0,00
G62270;Hartl;1.768;1.280;15;1.265;706;55,81;94;7,43;351;27,75;34;2,69;9;0,71;65;5,14;4;0,32;2;0,16;;0,00;;0,00;;0,00;;0,00;;0,00
G62271;Ilz;3.039;2.060;31;2.029;951;46,87;180;8,87;524;25,83;111;5,47;36;1,77;208;10,25;13;0,64;6;0,30;;0,00;;0,00;;0,00;;0,00;;0,00
G62272;Kaindorf;2.416;1.560;13;1.547;806;52,10;132;8,53;365;23,59;81;5,24;19;1,23;131;8,47;8;0,52;5;0,32;;0,00;;0,00;;0,00;;0,00;;0,00
