;;Nationalratswahl vom 28.09.2008 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31344;Spitz                                   ;1.386;81,67;30;1.102;259;23,50;-0,89;516;46,82;-6,74;47;4,26;-1,50;163;14,79;5,25;73;6,62;3,65;12;1,09;1,09;5;0,45;0,45;4;0,36;-0,45;4;0,36;0,36;19;1,72;1,72;;;;;;;;;;;;;;;
31346;Straß im Straßertale                    ;1.216;82,98;35;974;205;21,05;-2,49;450;46,20;-8,89;74;7,60;-0,31;150;15,40;6,56;58;5,95;4,41;4;0,41;0,41;16;1,64;1,64;3;0,31;-0,31;3;0,31;0,31;11;1,13;1,13;;;;;;;;;;;;;;;
31347;Stratzing                               ;656;79,88;9;515;95;18,45;-2,10;254;49,32;-8,98;37;7,18;-1,32;81;15,73;5,26;24;4,66;3,47;1;0,19;0,19;8;1,55;1,55;0;0,00;0,00;1;0,19;0,19;14;2,72;2,72;;;;;;;;;;;;;;;
31350;Weinzierl am Walde                      ;1.084;81,09;19;860;158;18,37;-2,18;516;60,00;-6,70;18;2,09;-0,55;106;12,33;7,38;31;3,60;1,73;5;0,58;0,58;3;0,35;0,35;6;0,70;0,26;7;0,81;0,81;10;1,16;1,16;;;;;;;;;;;;;;;
31351;Weißenkirchen in der Wachau             ;1.225;84,57;36;1.000;254;25,40;-4,47;445;44,50;-6,92;60;6,00;-0,46;166;16,60;8,57;35;3,50;2,23;3;0,30;0,30;19;1,90;1,90;2;0,20;-0,49;1;0,10;0,10;15;1,50;1,50;;;;;;;;;;;;;;;
31355;Schönberg am Kamp                       ;1.526;80,80;40;1.193;232;19,45;-2,34;513;43,00;-12,18;104;8,72;0,21;206;17,27;9,42;61;5,11;2,44;9;0,75;0,75;16;1,34;1,34;14;1,17;0,08;11;0,92;0,92;27;2,26;2,26;;;;;;;;;;;;;;;
31356;Droß                                    ;679;83,95;17;553;141;25,50;-1,62;174;31,46;-10,79;51;9,22;-3,51;108;19,53;9,20;45;8,14;6,48;7;1,27;1,27;8;1,45;1,45;3;0,54;0,17;1;0,18;0,18;15;2,71;2,71;;;;;;;;;;;;;;;
314;Bezirk Lilienfeld                       ;21.196;86,14;483;17.776;6.321;35,56;-7,43;5.497;30,92;-5,66;1.008;5,67;-0,39;2.942;16,55;8,41;1.146;6,45;4,30;206;1,16;1,16;182;1,02;1,02;183;1,03;0,03;101;0,57;0,57;190;1,07;1,07;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;50;1.476;484;32,79;32,79;532;36,04;36,04;124;8,40;8,40;183;12,40;12,40;65;4,40;4,40;15;1,02;1,02;31;2,10;2,10;14;0,95;0,95;8;0,54;0,54;20;1,36;1,36;;;;;;;;;;;;;;;
31401;Annaberg                                ;488;78,69;11;373;96;25,74;-5,52;176;47,18;-8,92;9;2,41;0,41;49;13,14;7,38;29;7,77;5,77;4;1,07;1,07;3;0,80;0,80;0;0,00;-0,67;0;0,00;0,00;7;1,88;1,88;;;;;;;;;;;;;;;
31402;Eschenau                                ;1.060;76,13;20;787;188;23,89;-3,25;312;39,64;-8,28;71;9,02;-0,46;131;16,65;7,04;59;7,50;5,42;3;0,38;0,38;6;0,76;0,76;4;0,51;0,25;4;0,51;0,51;9;1,14;1,14;;;;;;;;;;;;;;;
31403;Hainfeld                                ;2.967;77,42;56;2.241;865;38,60;-8,61;598;26,68;-6,19;140;6,25;0,17;382;17,05;8,45;150;6,69;4,89;20;0,89;0,89;19;0,85;0,85;25;1,12;0,37;8;0,36;0,36;34;1,52;1,52;;;;;;;;;;;;;;;
31404;Hohenberg                               ;1.273;82,95;31;1.025;498;48,59;-8,86;233;22,73;-5,40;40;3,90;-0,94;126;12,29;5,77;57;5,56;4,67;44;4,29;4,29;10;0,98;0,98;9;0,88;-0,01;3;0,29;0,29;5;0,49;0,49;;;;;;;;;;;;;;;
31405;Kaumberg                                ;788;79,44;8;618;122;19,74;-4,98;279;45,15;-10,07;32;5,18;1,33;110;17,80;6,89;40;6,47;4,54;6;0,97;0,97;7;1,13;1,13;4;0,65;0,33;9;1,46;1,46;9;1,46;1,46;;;;;;;;;;;;;;;
31406;Kleinzell                               ;692;83,53;19;559;104;18,60;-5,98;256;45,80;-9,10;19;3,40;0,44;111;19,86;9,51;51;9,12;5,98;5;0,89;0,89;2;0,36;0,36;6;1,07;0,33;1;0,18;0,18;4;0,72;0,72;;;;;;;;;;;;;;;
31407;Lilienfeld                              ;2.197;76,47;34;1.646;510;30,98;-5,22;532;32,32;-6,96;142;8,63;-1,42;272;16,52;8,63;104;6,32;4,21;17;1,03;1,03;23;1,40;1,40;17;1,03;-0,32;11;0,67;0,67;18;1,09;1,09;;;;;;;;;;;;;;;
31408;Mitterbach am Erlaufsee                 ;468;72,22;5;333;88;26,43;-7,52;145;43,54;-8,71;4;1,20;-1,72;66;19,82;12,92;21;6,31;4,98;1;0,30;0,30;2;0,60;0,60;0;0,00;-0,27;3;0,90;0,90;3;0,90;0,90;;;;;;;;;;;;;;;
31409;Ramsau                                  ;649;80,74;10;514;104;20,23;-5,98;227;44,16;-9,87;16;3,11;-1,33;94;18,29;9,62;50;9,73;7,51;7;1,36;1,36;4;0,78;0,78;2;0,39;0,19;6;1,17;1,17;4;0,78;0,78;;;;;;;;;;;;;;;
31410;Rohrbach an der Gölsen                  ;1.291;82,03;30;1.029;309;30,03;-7,94;369;35,86;-6,01;79;7,68;0,57;148;14,38;7,95;71;6,90;4,47;7;0,68;0,68;13;1,26;1,26;8;0,78;0,10;6;0,58;0,58;19;1,85;1,85;;;;;;;;;;;;;;;
31411;St. Aegyd am Neuwalde                   ;1.814;79,10;55;1.379;668;48,44;-5,71;364;26,40;-2,18;54;3,92;-1,50;167;12,11;6,55;58;4,21;2,54;33;2,39;2,39;16;1,16;1,16;12;0,87;-0,07;4;0,29;0,29;3;0,22;0,22;;;;;;;;;;;;;;;
31412;St. Veit an der Gölsen                  ;3.166;81,90;81;2.512;887;35,31;-10,41;735;29,26;-5,18;125;4,98;-0,80;461;18,35;10,58;179;7,13;4,98;20;0,80;0,80;22;0,88;0,88;34;1,35;0,14;17;0,68;0,68;32;1,27;1,27;;;;;;;;;;;;;;;
31413;Traisen                                 ;2.682;75,65;52;1.977;1.001;50,63;-8,33;272;13,76;-2,39;113;5,72;-0,38;363;18,36;8,32;130;6,58;3,22;15;0,76;0,76;13;0,66;0,66;44;2,23;0,07;13;0,66;0,66;13;0,66;0,66;;;;;;;;;;;;;;;
31414;Türnitz                                 ;1.661;79,95;21;1.307;397;30,37;-2,87;467;35,73;-10,54;40;3,06;-1,99;279;21,35;12,57;82;6,27;4,00;9;0,69;0,69;11;0,84;0,84;4;0,31;-0,28;8;0,61;0,61;10;0,77;0,77;;;;;;;;;;;;;;;
315;Bezirk Melk                             ;60.953;85,18;1.423;50.499;14.680;29,07;-6,61;18.096;35,83;-7,68;2.910;5,76;-0,49;9.324;18,46;9,31;3.282;6,50;4,37;455;0,90;0,90;459;0,91;0,91;267;0,53;-0,12;427;0,85;0,85;599;1,19;1,19;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;88;4.182;1.072;25,63;25,63;1.690;40,41;40,41;409;9,78;9,78;571;13,65;13,65;208;4,97;4,97;58;1,39;1,39;62;1,48;1,48;24;0,57;0,57;36;0,86;0,86;52;1,24;1,24;;;;;;;;;;;;;;;
31502;Artstetten - Pöbring                    ;944;82,63;22;758;150;19,79;-6,96;392;51,72;-7,77;29;3,83;-0,12;98;12,93;6,82;62;8,18;7,29;7;0,92;0,92;5;0,66;0,66;1;0,13;-0,51;5;0,66;0,66;9;1,19;1,19;;;;;;;;;;;;;;;
31503;Bergland                                ;1.451;80,22;38;1.126;241;21,40;-5,20;511;45,38;-11,06;43;3,82;-0,78;207;18,38;12,07;65;5,77;3,38;12;1,07;1,07;5;0,44;0,44;2;0,18;-0,16;16;1,42;1,42;24;2,13;2,13;;;;;;;;;;;;;;;
31504;Bischofstetten                          ;957;82,03;12;773;233;30,14;-4,74;297;38,42;-8,56;38;4,92;1,57;125;16,17;9,09;57;7,37;4,28;8;1,03;1,03;4;0,52;0,52;5;0,65;-0,64;0;0,00;0,00;6;0,78;0,78;;;;;;;;;;;;;;;
31505;Blindenmarkt                            ;1.884;76,33;37;1.401;278;19,84;-8,43;349;24,91;-11,90;89;6,35;-0,84;498;35,55;13,58;95;6,78;4,07;32;2,28;2,28;14;1,00;1,00;10;0,71;0,17;23;1,64;1,64;13;0,93;0,93;;;;;;;;;;;;;;;
31506;Dorfstetten                             ;495;72,12;6;351;96;27,35;-12,28;146;41,60;-7,07;6;1,71;-0,68;73;20,80;15,21;22;6,27;4,67;0;0,00;0,00;0;0,00;0,00;0;0,00;-0,80;7;1,99;1,99;1;0,28;0,28;;;;;;;;;;;;;;;
31507;Dunkelsteinerwald                       ;1.884;82,06;62;1.484;303;20,42;-7,73;554;37,33;-9,38;65;4,38;-1,99;360;24,26;12,50;120;8,09;5,43;14;0,94;0,94;13;0,88;0,88;13;0,88;-0,24;21;1,42;1,42;21;1,42;1,42;;;;;;;;;;;;;;;
31508;Erlauf                                  ;877;81,98;20;699;199;28,47;-6,90;233;33,33;-7,72;29;4,15;-1,82;159;22,75;8,97;52;7,44;5,88;2;0,29;0,29;0;0,00;0,00;8;1,14;0,57;4;0,57;0,57;13;1,86;1,86;;;;;;;;;;;;;;;
31509;Golling an der Erlauf                   ;1.243;77,80;29;938;539;57,46;-15,56;66;7,04;-0,88;36;3,84;0,41;214;22,81;13,07;59;6,29;4,04;6;0,64;0,64;4;0,43;0,43;6;0,64;-0,43;2;0,21;0,21;6;0,64;0,64;;;;;;;;;;;;;;;
31511;Hofamt Priel                            ;1.363;85,33;48;1.115;398;35,70;-4,65;390;34,98;-9,53;55;4,93;0,24;162;14,53;8,87;67;6,01;4,59;5;0,45;0,45;6;0,54;0,54;6;0,54;0,01;19;1,70;1,70;7;0,63;0,63;;;;;;;;;;;;;;;
31513;Hürm                                    ;1.343;79,37;22;1.044;129;12,36;-2,17;599;57,38;-10,12;42;4,02;-0,95;151;14,46;6,33;84;8,05;6,14;4;0,38;0,38;14;1,34;1,34;2;0,19;-0,38;7;0,67;0,67;12;1,15;1,15;;;;;;;;;;;;;;;
31514;Kilb                                    ;2.041;80,16;65;1.571;256;16,30;-3,55;756;48,12;-9,93;117;7,45;0,15;222;14,13;6,45;135;8,59;5,47;21;1,34;1,34;13;0,83;0,83;12;0,76;0,20;11;0,70;0,70;28;1,78;1,78;;;;;;;;;;;;;;;
31515;Kirnberg an der Mank                    ;814;85,87;27;672;63;9,38;-1,29;410;61,01;-8,14;35;5,21;-0,78;71;10,57;2,97;64;9,52;5,87;4;0,60;0,60;3;0,45;0,45;1;0,15;0,15;9;1,34;1,34;12;1,79;1,79;;;;;;;;;;;;;;;
31516;Klein-Pöchlarn                          ;818;74,69;18;593;249;41,99;-9,50;151;25,46;-3,35;31;5,23;-1,56;101;17,03;9,75;36;6,07;4,58;9;1,52;1,52;6;1,01;1,01;5;0,84;0,51;3;0,51;0,51;2;0,34;0,34;;;;;;;;;;;;;;;
31517;Krummnußbaum                            ;1.133;80,76;20;895;353;39,44;-7,74;239;26,70;-5,47;50;5,59;-0,96;136;15,20;7,53;60;6,70;4,56;6;0,67;0,67;9;1,01;1,01;8;0,89;0,21;15;1,68;1,68;19;2,12;2,12;;;;;;;;;;;;;;;
31519;Leiben                                  ;1.098;77,60;24;828;385;46,50;-6,71;212;25,60;-6,98;29;3,50;-0,90;133;16,06;12,00;34;4,11;2,08;7;0,85;0,85;7;0,85;0,85;4;0,48;-0,31;13;1,57;1,57;4;0,48;0,48;;;;;;;;;;;;;;;
31520;Loosdorf                                ;2.895;77,20;60;2.175;904;41,56;-10,05;423;19,45;-5,43;100;4,60;-1,71;537;24,69;13,22;125;5,75;3,54;14;0,64;0,64;24;1,10;1,10;11;0,51;-0,15;13;0,60;0,60;24;1,10;1,10;;;;;;;;;;;;;;;
31521;Mank                                    ;2.394;81,16;68;1.875;290;15,47;-3,21;900;48,00;-10,56;144;7,68;-1,04;334;17,81;9,52;112;5,97;3,71;15;0,80;0,80;9;0,48;0,48;15;0,80;-0,01;20;1,07;1,07;36;1,92;1,92;;;;;;;;;;;;;;;
31522;Marbach an der Donau                    ;1.273;79,65;27;987;447;45,29;-3,41;253;25,63;-9,02;44;4,46;-0,35;145;14,69;7,86;61;6,18;3,87;4;0,41;0,41;4;0,41;0,41;8;0,81;-0,15;5;0,51;0,51;16;1,62;1,62;;;;;;;;;;;;;;;
31523;Maria Taferl                            ;687;83,70;11;564;176;31,21;-9,43;206;36,52;-8,67;21;3,72;0,35;88;15,60;10,71;51;9,04;7,02;9;1,60;1,60;2;0,35;0,35;2;0,35;-0,49;4;0,71;0,71;5;0,89;0,89;;;;;;;;;;;;;;;
31524;Melk                                    ;4.148;74,42;66;3.021;754;24,96;-4,09;1.038;34,36;-8,74;293;9,70;-2,49;572;18,93;8,79;209;6,92;5,06;18;0,60;0,60;68;2,25;2,25;14;0,46;-0,17;12;0,40;0,40;43;1,42;1,42;;;;;;;;;;;;;;;
31525;Münichreith - Laimbach                  ;1.397;79,46;44;1.066;352;33,02;-8,10;399;37,43;-7,65;34;3,19;-0,40;188;17,64;12,12;61;5,72;3,97;9;0,84;0,84;5;0,47;0,47;4;0,38;-0,45;11;1,03;1,03;3;0,28;0,28;;;;;;;;;;;;;;;
31527;Neumarkt an der Ybbs                    ;1.453;74,12;20;1.057;375;35,48;-6,70;250;23,65;-10,58;60;5,68;0,06;242;22,89;9,93;89;8,42;6,95;20;1,89;1,89;4;0,38;0,38;5;0,47;-0,48;2;0,19;0,19;10;0,95;0,95;;;;;;;;;;;;;;;
31528;Nöchling                                ;815;80,00;12;640;179;27,97;-7,00;254;39,69;-6,99;31;4,84;1,04;102;15,94;7,55;49;7,66;5,76;5;0,78;0,78;2;0,31;0,31;5;0,78;-0,17;8;1,25;1,25;5;0,78;0,78;;;;;;;;;;;;;;;
31530;Persenbeug - Gottsdorf                  ;1.831;80,12;29;1.438;740;51,46;-10,00;243;16,90;-4,90;66;4,59;-2,02;232;16,13;9,59;99;6,88;5,54;7;0,49;0,49;13;0,90;0,90;11;0,76;-0,01;13;0,90;0,90;14;0,97;0,97;;;;;;;;;;;;;;;
31531;Petzenkirchen                           ;1.067;77,79;19;811;327;40,32;-9,26;174;21,45;-8,78;40;4,93;-1,12;181;22,32;14,58;54;6,66;4,36;9;1,11;1,11;9;1,11;1,11;4;0,49;-0,11;4;0,49;0,49;9;1,11;1,11;;;;;;;;;;;;;;;
31533;Pöchlarn                                ;3.072;69,69;59;2.082;756;36,31;-6,62;537;25,79;-5,63;129;6,20;-1,40;446;21,42;9,15;130;6,24;4,42;12;0,58;0,58;24;1,15;1,15;16;0,77;-0,25;9;0,43;0,43;23;1,10;1,10;;;;;;;;;;;;;;;
31534;Pöggstall                               ;2.071;78,75;48;1.583;376;23,75;-4,74;710;44,85;-9,11;49;3,10;-1,91;270;17,06;9,64;120;7,58;4,86;11;0,69;0,69;9;0,57;0,57;5;0,32;-0,05;14;0,88;0,88;19;1,20;1,20;;;;;;;;;;;;;;;
31535;Raxendorf                               ;882;84,35;17;727;175;24,07;-4,73;390;53,65;-6,72;14;1,93;-0,45;78;10,73;6,63;36;4,95;3,50;14;1,93;1,93;1;0,14;0,14;1;0,14;-0,26;4;0,55;0,55;14;1,93;1,93;;;;;;;;;;;;;;;
31537;Ruprechtshofen                          ;1.790;80,17;40;1.395;193;13,84;-3,52;637;45,66;-12,48;81;5,81;-0,89;359;25,73;12,55;73;5,23;2,78;11;0,79;0,79;10;0,72;0,72;2;0,14;-0,15;11;0,79;0,79;18;1,29;1,29;;;;;;;;;;;;;;;
31539;St. Leonhard am Forst                   ;2.480;79,23;58;1.907;364;19,09;-2,41;772;40,48;-11,87;127;6,66;-1,40;443;23,23;10,48;95;4,98;3,01;26;1,36;1,36;24;1,26;1,26;9;0,47;-0,28;21;1,10;1,10;26;1,36;1,36;;;;;;;;;;;;;;;
31540;St. Martin - Karlsbach                  ;1.394;81,49;28;1.108;355;32,04;-7,02;403;36,37;-5,77;59;5,32;-1,22;192;17,33;8,61;59;5,32;4,23;10;0,90;0,90;8;0,72;0,72;1;0,09;-0,45;7;0,63;0,63;14;1,26;1,26;;;;;;;;;;;;;;;
31541;St. Oswald                              ;868;81,11;21;683;159;23,28;-5,90;363;53,15;-4,94;24;3,51;-1,19;89;13,03;7,77;25;3,66;2,97;1;0,15;0,15;1;0,15;0,15;5;0,73;0,18;13;1,90;1,90;3;0,44;0,44;;;;;;;;;;;;;;;
31542;Schönbühel - Aggsbach                   ;849;75,97;9;636;176;27,67;-4,62;207;32,55;-8,56;42;6,60;-2,07;139;21,86;9,90;50;7,86;5,62;6;0,94;0,94;7;1,10;1,10;3;0,47;0,47;1;0,16;0,16;5;0,79;0,79;;;;;;;;;;;;;;;
31543;Schollach                               ;756;79,23;11;588;174;29,59;-4,85;229;38,95;-9,15;20;3,40;-1,84;120;20,41;11,52;28;4,76;3,81;7;1,19;1,19;3;0,51;0,51;2;0,34;-0,61;0;0,00;0,00;5;0,85;0,85;;;;;;;;;;;;;;;
31546;Weiten                                  ;920;78,80;24;701;156;22,25;-4,66;369;52,64;-9,77;27;3,85;1,77;95;13,55;9,53;34;4,85;2,91;3;0,43;0,43;6;0,86;0,86;4;0,57;0,29;4;0,57;0,57;3;0,43;0,43;;;;;;;;;;;;;;;
31549;Ybbs an der Donau                       ;4.434;71,74;94;3.087;1.294;41,92;-10,74;656;21,25;-5,11;163;5,28;-0,01;602;19,50;9,98;247;8,00;5,26;25;0,81;0,81;39;1,26;1,26;16;0,52;-0,18;19;0,62;0,62;26;0,84;0,84;;;;;;;;;;;;;;;
31550;Zelking - Matzleinsdorf                 ;999;80,78;25;782;211;26,98;-2,78;329;42,07;-8,25;46;5,88;-1,53;128;16,37;8,83;37;4,73;3,20;6;0,77;0,77;2;0,26;0,26;2;0,26;-0,25;6;0,77;0,77;15;1,92;1,92;;;;;;;;;;;;;;;
31551;Texingtal                               ;1.254;78,07;27;952;107;11,24;-2,14;544;57,14;-11,77;67;7,04;1,20;128;13,45;6,51;66;6,93;4,92;9;0,95;0,95;5;0,53;0,53;5;0,53;0,13;9;0,95;0,95;12;1,26;1,26;;;;;;;;;;;;;;;
31552;Yspertal                                ;1.495;79,87;29;1.165;390;33,48;-3,83;435;37,34;-8,68;43;3,69;0,21;194;16,65;9,44;73;6,27;2,79;5;0,43;0,43;7;0,60;0,60;2;0,17;0,09;9;0,77;0,77;7;0,60;0,60;;;;;;;;;;;;;;;
31553;Emmersdorf an der Donau                 ;1.384;77,89;39;1.039;306;29,45;-5,03;380;36,57;-8,26;83;7,99;-0,32;139;13,38;6,40;79;7,60;5,30;4;0,38;0,38;8;0,77;0,77;8;0,77;0,15;17;1,64;1,64;15;1,44;1,44;;;;;;;;;;;;;;;
316;Bezirk Mistelbach                       ;59.904;85,96;1.353;50.138;13.759;27,44;-4,58;19.713;39,32;-7,34;3.258;6,50;-0,07;8.785;17,52;8,35;2.632;5,25;3,28;351;0,70;0,70;676;1,35;1,35;253;0,50;-0,12;213;0,42;0,42;498;0,99;0,99;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;54;3.292;753;22,87;22,87;1.378;41,86;41,86;319;9,69;9,69;512;15,55;15,55;147;4,47;4,47;16;0,49;0,49;79;2,40;2,40;19;0,58;0,58;32;0,97;0,97;37;1,12;1,12;;;;;;;;;;;;;;;
31601;Altlichtenwarth                         ;653;75,19;15;476;125;26,26;-7,27;218;45,80;-7,21;7;1,47;0,06;82;17,23;10,20;29;6,09;4,48;1;0,21;0,21;7;1,47;1,47;1;0,21;-0,39;2;0,42;0,42;4;0,84;0,84;;;;;;;;;;;;;;;
31603;Asparn an der Zaya                      ;1.406;81,86;37;1.114;328;29,44;-3,83;435;39,05;-8,29;37;3,32;-1,10;237;21,27;11,62;53;4,76;2,69;4;0,36;0,36;5;0,45;0,45;4;0,36;-0,27;3;0,27;0,27;8;0,72;0,72;;;;;;;;;;;;;;;
31604;Bernhardsthal                           ;1.418;81,66;32;1.126;422;37,48;-4,36;395;35,08;-7,54;30;2,66;-0,99;182;16,16;9,39;56;4,97;2,63;10;0,89;0,89;8;0,71;0,71;5;0,44;0,09;4;0,36;0,36;14;1,24;1,24;;;;;;;;;;;;;;;
31605;Bockfließ                               ;1.098;82,15;20;882;281;31,86;-5,22;315;35,71;-5,23;53;6,01;-0,66;158;17,91;7,73;44;4,99;3,24;5;0,57;0,57;15;1,70;1,70;3;0,34;-0,01;1;0,11;0,11;7;0,79;0,79;;;;;;;;;;;;;;;
31606;Drasenhofen                             ;861;77,70;11;658;95;14,44;-3,20;367;55,78;-11,16;12;1,82;0,99;119;18,09;9,90;50;7,60;3,99;0;0,00;0,00;7;1,06;1,06;2;0,30;-0,53;3;0,46;0,46;3;0,46;0,46;;;;;;;;;;;;;;;
31608;Falkenstein                             ;400;78,25;8;305;24;7,87;-2,00;197;64,59;-7,38;38;12,46;5,14;20;6,56;1,78;11;3,61;0,43;1;0,33;0,33;5;1,64;1,64;5;1,64;0,68;0;0,00;0,00;4;1,31;1,31;;;;;;;;;;;;;;;
31609;Fallbach                                ;693;78,64;14;531;93;17,51;-1,34;363;68,36;-3,27;15;2,82;-0,59;33;6,21;3,34;14;2,64;1,56;3;0,56;0,56;0;0,00;0,00;2;0,38;-0,34;4;0,75;0,75;4;0,75;0,75;;;;;;;;;;;;;;;
31611;Gaubitsch                               ;746;82,71;22;595;53;8,91;-1,59;397;66,72;-9,45;16;2,69;-1,31;87;14,62;9,62;25;4,20;2,53;3;0,50;0,50;3;0,50;0,50;1;0,17;0,17;3;0,50;0,50;7;1,18;1,18;;;;;;;;;;;;;;;
31612;Gaweinstal                              ;2.894;78,37;63;2.205;680;30,84;-5,86;791;35,87;-6,50;110;4,99;0,01;439;19,91;9,63;126;5,71;3,56;13;0,59;0,59;22;1,00;1,00;6;0,27;-0,23;0;0,00;0,00;18;0,82;0,82;;;;;;;;;;;;;;;
31613;Gnadendorf                              ;969;82,04;20;775;147;18,97;0,19;415;53,55;-12,62;33;4,26;0,16;107;13,81;7,84;51;6,58;4,84;4;0,52;0,52;6;0,77;0,77;4;0,52;0,15;4;0,52;0,52;4;0,52;0,52;;;;;;;;;;;;;;;
31614;Großebersdorf                           ;1.787;79,85;28;1.399;352;25,16;-2,85;504;36,03;-7,40;80;5,72;-0,53;299;21,37;7,68;99;7,08;4,02;12;0,86;0,86;15;1,07;1,07;7;0,50;-0,06;8;0,57;0,57;23;1,64;1,64;;;;;;;;;;;;;;;
31615;Großengersdorf                          ;1.126;85,26;25;935;347;37,11;-4,71;314;33,58;-4,23;63;6,74;0,89;150;16,04;5,21;36;3,85;2,44;3;0,32;0,32;6;0,64;0,64;8;0,86;-0,01;4;0,43;0,43;4;0,43;0,43;;;;;;;;;;;;;;;
31616;Großharras                              ;998;80,16;15;785;187;23,82;-4,38;370;47,13;-9,27;31;3,95;-0,48;143;18,22;11,69;41;5,22;3,00;3;0,38;0,38;3;0,38;0,38;4;0,51;0,02;1;0,13;0,13;2;0,25;0,25;;;;;;;;;;;;;;;
31617;Großkrut                                ;1.298;82,90;42;1.034;270;26,11;-4,20;440;42,55;-7,68;41;3,97;0,51;196;18,96;7,83;52;5,03;3,44;8;0,77;0,77;10;0,97;0,97;5;0,48;0,29;1;0,10;0,10;11;1,06;1,06;;;;;;;;;;;;;;;
31620;Hausbrunn                               ;726;83,20;18;586;297;50,68;-4,73;156;26,62;-3,62;7;1,19;-0,50;91;15,53;7,59;16;2,73;1,38;5;0,85;0,85;3;0,51;0,51;8;1,37;0,53;2;0,34;0,34;1;0,17;0,17;;;;;;;;;;;;;;;
31621;Herrnbaumgarten                         ;798;83,58;17;650;120;18,46;-3,44;307;47,23;-7,90;34;5,23;0,64;135;20,77;8,67;34;5,23;2,17;9;1,38;1,38;2;0,31;0,31;4;0,62;0,16;1;0,15;0,15;4;0,62;0,62;;;;;;;;;;;;;;;
31622;Hochleithen                             ;938;80,81;22;736;239;32,47;-6,11;253;34,38;-5,45;37;5,03;-1,10;124;16,85;6,13;47;6,39;4,86;1;0,14;0,14;14;1,90;1,90;1;0,14;-0,83;3;0,41;0,41;17;2,31;2,31;;;;;;;;;;;;;;;
31627;Kreuttal                                ;1.160;82,33;33;922;282;30,59;-5,46;310;33,62;-5,85;87;9,44;0,51;170;18,44;9,84;41;4,45;2,02;4;0,43;0,43;12;1,30;1,30;5;0,54;-0,56;5;0,54;0,54;6;0,65;0,65;;;;;;;;;;;;;;;
31628;Kreuzstetten                            ;1.226;80,34;18;967;300;31,02;-3,55;319;32,99;-8,99;76;7,86;0,04;172;17,79;8,53;43;4,45;2,50;10;1,03;1,03;20;2,07;2,07;8;0,83;-0,10;11;1,14;1,14;8;0,83;0,83;;;;;;;;;;;;;;;
31629;Laa an der Thaya                        ;5.106;78,81;114;3.910;1.389;35,52;-5,92;1.287;32,92;-6,22;251;6,42;-0,41;612;15,65;8,15;232;5,93;4,15;34;0,87;0,87;36;0,92;0,92;16;0,41;0,10;15;0,38;0,38;38;0,97;0,97;;;;;;;;;;;;;;;
31630;Ladendorf                               ;1.821;81,16;47;1.431;403;28,16;-3,18;486;33,96;-9,01;82;5,73;-3,04;356;24,88;12,21;56;3,91;2,66;12;0,84;0,84;22;1,54;1,54;3;0,21;-0,28;2;0,14;0,14;9;0,63;0,63;;;;;;;;;;;;;;;
31633;Mistelbach                              ;8.805;77,43;211;6.607;1.875;28,38;-4,23;2.233;33,80;-8,97;560;8,48;-0,06;1.252;18,95;8,59;367;5,55;3,86;58;0,88;0,88;121;1,83;1,83;37;0,56;-0,21;17;0,26;0,26;87;1,32;1,32;;;;;;;;;;;;;;;
31634;Neudorf bei Staatz                      ;1.132;83,75;28;920;283;30,76;-6,27;333;36,20;-6,43;32;3,48;-1,66;179;19,46;9,17;56;6,09;4,95;6;0,65;0,65;4;0,43;0,43;8;0,87;0,18;7;0,76;0,76;12;1,30;1,30;;;;;;;;;;;;;;;
31636;Niederleis                              ;711;81,72;11;570;190;33,33;-6,56;187;32,81;-8,49;28;4,91;-0,71;120;21,05;12,79;24;4,21;2,80;1;0,18;0,18;7;1,23;1,23;2;0,35;0,17;1;0,18;0,18;10;1,75;1,75;;;;;;;;;;;;;;;
31642;Pillichsdorf                            ;902;85,59;19;753;173;22,97;-5,21;285;37,85;-6,49;102;13,55;0,57;102;13,55;5,82;31;4,12;1,77;12;1,59;1,59;16;2,12;2,12;8;1,06;0,37;17;2,26;2,26;7;0,93;0,93;;;;;;;;;;;;;;;
31644;Poysdorf                                ;4.441;81,92;105;3.533;789;22,33;-2,79;1.741;49,28;-6,43;117;3,31;-0,60;552;15,62;6,58;219;6,20;4,13;27;0,76;0,76;37;1,05;1,05;14;0,40;-0,17;12;0,34;0,34;25;0,71;0,71;;;;;;;;;;;;;;;
31645;Rabensburg                              ;916;77,29;18;690;373;54,06;-10,20;98;14,20;-3,60;14;2,03;0,16;139;20,14;11,44;39;5,65;0,83;2;0,29;0,29;5;0,72;0,72;2;0,29;-0,25;12;1,74;1,74;6;0,87;0,87;;;;;;;;;;;;;;;
31646;Schrattenberg                           ;724;78,73;16;554;83;14,98;-3,19;334;60,29;-6,55;9;1,62;-0,50;84;15,16;7,93;34;6,14;3,67;0;0,00;0,00;5;0,90;0,90;0;0,00;-1,06;1;0,18;0,18;4;0,72;0,72;;;;;;;;;;;;;;;
