	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	FPÖ	ÖVP	GRÜNE	KPÖ	LIF
366	41600	Bezirk Urfahr-Umgebung               	58446	50259	906	49353	15268	3828	24397	5225	211	424
367	41601	Alberndorf in der Riedmark    	2629	2294	61	2233	646	179	1193	202	5	8
368	41602	Altenberg bei Linz            	3048	2639	33	2606	605	176	1559	243	5	18
369	41603	Bad Leonfelden                	2869	2467	61	2406	524	164	1515	179	10	14
370	41604	Eidenberg                     	1321	1158	20	1138	242	61	749	74	4	8
371	41605	Engerwitzdorf                 	5740	4807	85	4722	1754	389	2019	504	13	43
372	41606	Feldkirchen an der Donau      	3813	3343	62	3281	1208	331	1450	242	22	28
373	41607	Gallneukirchen                	4436	3771	59	3712	1333	231	1425	667	19	37
374	41608	Goldwörth                     	652	568	10	558	181	35	282	52	4	4
375	41609	Gramastetten                  	3485	3026	49	2977	740	219	1631	340	12	35
376	41610	Haibach im Mühlkreis          	589	525	14	511	155	36	277	38	1	4
377	41611	Hellmonsödt                   	1534	1311	19	1292	402	127	602	136	10	15
378	41612	Herzogsdorf                   	1742	1495	14	1481	344	129	929	62	4	13
379	41613	Kirchschlag bei Linz          	1422	1208	28	1180	323	88	624	127	4	14
380	41614	Lichtenberg                   	1812	1589	21	1568	465	108	779	198	3	15
381	41615	Oberneukirchen                	2277	1946	43	1903	473	166	1063	174	10	17
382	41616	Ottenschlag im Mühlkreis      	361	318	8	310	100	19	184	6	1	0
383	41617	Ottensheim                    	3228	2764	34	2730	857	210	1169	451	11	32
384	41618	Puchenau                      	3630	2989	42	2947	935	292	1151	524	13	32
385	41619	Reichenau im Mühlkreis        	827	715	13	702	196	59	384	51	4	8
386	41620	Reichenthal                   	1028	906	14	892	241	54	540	47	6	4
387	41621	St.Gotthard im Mühlkreis      	991	869	25	844	269	74	408	79	4	10
388	41622	Schenkenfelden                	1113	974	23	951	228	92	548	65	9	9
389	41623	Sonnberg im Mühlkreis         	572	501	15	486	132	35	286	24	5	4
390	41624	Steyregg                      	3714	3206	64	3142	1466	265	1079	301	8	23
391	41625	Vorderweißenbach              	1508	1324	25	1299	232	83	900	66	10	8
392	41626	Walding                       	2821	2457	45	2412	975	140	1028	255	3	11
393	41627	Zwettl an der Rodl            	1284	1089	19	1070	242	66	623	118	11	10
394	41700	Bezirk Vöcklabruck                   	91660	76615	1602	75013	26834	8258	32861	6027	371	662
395	41701	Ampflwang im Hausruckwald     	2728	2373	49	2324	1421	229	527	117	16	14
396	41702	Attersee                      	1134	901	11	890	273	85	449	72	3	8
397	41703	Attnang-Puchheim              	6069	4836	72	4764	2356	520	1368	447	33	40
398	41704	Atzbach                       	846	733	11	722	140	92	434	46	5	5
399	41705	Aurach am Hongar              	1105	966	23	943	407	83	383	62	1	7
400	41706	Berg im Attergau              	713	615	6	609	86	62	440	16	1	4
401	41707	Desselbrunn                   	1144	1018	17	1001	377	90	459	61	9	5
402	41708	Fornach                       	612	548	16	532	77	73	350	23	5	4
403	41709	Frankenburg am Hausruck       	3670	3115	94	3021	1217	350	1225	187	19	23
404	41710	Frankenmarkt                  	2527	2091	72	2019	671	204	957	147	11	29
405	41711	Gampern                       	1829	1549	33	1516	410	118	834	137	5	12
406	41712	Innerschwand                  	738	611	10	601	84	33	434	38	4	8
407	41713	Lenzing                       	3805	3163	91	3072	1821	365	607	231	14	34
408	41714	Manning                       	609	537	14	523	157	34	285	38	0	9
409	41715	Mondsee                       	2179	1726	26	1700	382	261	850	168	9	30
410	41716	Neukirchen an der Vöckla      	1868	1575	44	1531	490	160	740	123	6	12
411	41717	Niederthalheim                	768	679	16	663	130	100	390	35	2	6
412	41718	Nußdorf am Attersee           	773	621	17	604	123	111	335	28	2	5
413	41719	Oberhofen am Irrsee           	963	814	21	793	220	75	444	50	1	3
414	41720	Oberndorf bei Schwanenstadt   	1032	883	14	869	280	121	379	81	3	5
415	41721	Oberwang                      	1107	963	18	945	105	75	736	20	3	6
416	41722	Ottnang am Hausruck           	2804	2403	47	2356	1010	245	952	126	8	15
417	41723	Pfaffing                      	1007	863	30	833	282	73	397	67	7	7
418	41724	Pilsbach                      	443	398	7	391	115	29	220	26	0	1
419	41725	Pitzenberg                    	359	305	4	301	79	42	150	25	3	2
420	41726	Pöndorf                       	1655	1401	35	1366	425	156	703	67	5	10
421	41727	Puchkirchen am Trattberg      	650	569	13	556	155	23	310	64	0	4
422	41728	Pühret                        	433	381	7	374	83	39	213	33	3	3
423	41729	Redleiten                     	325	278	10	268	94	33	132	8	1	0
424	41730	Redlham                       	974	811	15	796	292	76	351	66	5	6
425	41731	Regau                         	4067	3448	87	3361	1269	453	1301	278	13	47
426	41732	Rüstorf                       	1420	1189	32	1157	469	145	416	107	11	9
427	41733	Rutzenham                     	176	161	5	156	13	18	99	24	1	1
428	41734	St.Georgen im Attergau        	2653	2234	34	2200	644	302	1086	146	6	16
429	41735	St.Lorenz                     	1398	1176	14	1162	248	91	718	95	4	6
430	41736	Schlatt                       	942	781	14	767	246	90	358	62	5	6
431	41737	Schörfling am Attersee        	2345	1885	30	1855	700	264	674	180	18	19
432	41738	Schwanenstadt                 	2855	2310	37	2273	848	303	829	253	10	30
433	41739	Seewalchen am Attersee        	3651	3023	55	2968	1075	412	1111	317	23	30
434	41740	Steinbach am Attersee         	645	526	3	523	132	57	304	23	3	4
435	41741	Straß im Attergau             	1014	863	15	848	180	111	521	35	0	1
436	41742	Tiefgraben                    	2202	1834	38	1796	335	194	1130	124	5	8
437	41743	Timelkam                      	4242	3564	79	3485	1638	362	1129	303	15	38
438	41744	Ungenach                      	971	840	22	818	189	78	491	51	2	7
439	41745	Unterach am Attersee          	1071	831	12	819	291	79	382	54	5	8
440	41746	Vöcklabruck                   	8603	7033	115	6918	2626	708	2669	819	33	63
441	41747	Vöcklamarkt                   	3357	2798	74	2724	829	255	1389	219	8	24
442	41748	Weißenkirchen im Attergau     	704	584	25	559	98	44	390	23	3	1
443	41749	Weyregg am Attersee           	1141	947	13	934	284	82	488	72	2	6
444	41750	Wolfsegg am Hausruck          	1487	1275	27	1248	547	123	450	101	15	12
445	41751	Zell am Moos                  	981	825	17	808	164	67	503	68	1	5
446	41752	Zell am Pettenfirst           	866	762	11	751	247	63	369	64	4	4
447	41800	Bezirk Wels-Land                     	45663	38959	607	38352	14226	4688	16113	2853	161	311
448	41801	Aichkirchen                   	370	320	10	310	51	52	196	10	1	0
449	41802	Bachmanning                   	435	369	7	362	120	59	159	22	0	2
450	41803	Bad Wimsbach-Neydharting      	1724	1467	20	1447	502	137	710	79	10	9
451	41804	Buchkirchen                   	2686	2309	44	2265	999	224	849	169	6	18
452	41805	Eberstalzell                  	1564	1306	18	1288	209	154	849	64	0	12
453	41806	Edt bei Lambach               	1521	1280	19	1261	433	183	551	81	4	9
454	41807	Fischlham                     	929	840	8	832	227	71	484	42	1	7
455	41808	Gunskirchen                   	3847	3347	47	3300	1267	462	1326	212	13	20
456	41809	Holzhausen                    	469	419	3	416	171	42	165	27	2	9
457	41810	Krenglbach                    	2006	1758	25	1733	724	185	667	137	8	12
458	41811	Lambach                       	2259	1756	31	1725	680	219	657	152	6	11
459	41812	Marchtrenk                    	8128	6926	119	6807	3433	814	1919	530	36	75
460	41813	Neukirchen bei Lambach        	620	557	5	552	119	88	298	40	4	3
461	41814	Offenhausen                   	1039	902	14	888	220	153	454	50	4	7
462	41815	Pennewang                     	617	545	9	536	83	51	352	46	0	4
463	41816	Pichl bei Wels                	1948	1691	31	1660	510	195	789	149	10	7
464	41817	Sattledt                      	1588	1387	18	1369	420	166	705	60	7	11
465	41818	Schleißheim                   	713	625	12	613	193	77	273	54	3	13
466	41819	Sipbachzell                   	1247	1112	17	1095	293	135	581	77	3	6
467	41820	Stadl-Paura                   	3369	2696	59	2637	1312	359	696	225	24	21
468	41821	Steinerkirchen an der Traun   	1585	1380	9	1371	248	127	907	80	1	8
469	41822	Steinhaus                     	1392	1229	29	1200	341	255	529	66	3	6
470	41823	Thalheim bei Wels             	3675	3093	33	3060	1023	349	1288	364	8	28
471	41824	Weißkirchen an der Traun      	1932	1645	20	1625	648	131	709	117	7	13
