	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	KPÖ	MATIN
373	41607	Gallneukirchen                	4757	3751	84	3667	1130	1299	314	735	64	25	100
374	41608	Goldwörth                     	673	543	13	530	236	176	36	48	20	4	10
375	41609	Gramastetten                  	3572	2929	64	2865	1344	692	263	416	68	22	60
376	41610	Haibach im Mühlkreis          	622	518	20	498	230	140	50	47	6	5	20
377	41611	Hellmonsödt                   	1631	1301	27	1274	496	401	129	166	24	13	45
378	41612	Herzogsdorf                   	1832	1490	26	1464	791	351	139	93	43	12	35
379	41613	Kirchschlag bei Linz          	1507	1188	32	1156	469	308	147	157	24	11	40
380	41614	Lichtenberg                   	1966	1609	32	1577	675	459	139	227	32	10	35
381	41615	Oberneukirchen                	2407	1949	64	1885	893	497	158	231	46	20	40
382	41616	Ottenschlag im Mühlkreis      	380	323	10	313	154	104	26	15	6	0	8
383	41617	Ottensheim                    	3433	2739	52	2687	939	791	249	562	63	18	65
384	41618	Puchenau                      	3686	2875	57	2818	932	896	290	521	61	37	81
385	41619	Reichenau im Mühlkreis        	890	717	17	700	314	225	66	61	11	4	19
386	41620	Reichenthal                   	1050	909	23	886	459	266	72	54	13	4	18
387	41621	St.Gotthard im Mühlkreis      	1009	856	29	827	311	273	91	88	26	14	24
388	41622	Schenkenfelden                	1170	963	29	934	481	221	92	85	28	4	23
389	41623	Sonnberg im Mühlkreis         	616	503	27	476	243	131	33	42	10	5	12
390	41624	Steyregg                      	3766	3059	63	2996	843	1302	327	348	75	20	81
