GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	LIF	KPÖ	RETTÖ	DC	FRITZ	LINKE
G70306	Birgitz	997	687	9	678	201	82	108	91	90	16	1	4	3	81	1
G70307	Ellbögen	857	622	7	615	244	108	112	43	53	10	3	4	3	35	0
G70308	Flaurling	869	617	7	610	210	139	75	56	50	8	4	5	7	56	0
G70309	Fritzens	1605	1122	12	1110	269	230	210	104	119	23	5	8	4	137	1
G70310	Fulpmes	2845	1851	24	1827	484	280	342	235	187	34	8	11	18	227	1
G70311	Gnadenwald	538	377	2	375	150	37	44	61	29	19	1	2	0	32	0
G70312	Götzens	2865	1849	20	1829	501	342	316	214	180	57	10	16	11	182	0
G70313	Gries am Brenner	991	705	14	691	244	128	110	49	77	10	4	4	6	59	0
G70314	Gries im Sellrain	457	292	5	287	138	43	35	13	20	4	1	0	1	32	0
G70315	Grinzens	1031	703	9	694	216	130	109	78	68	16	0	7	14	55	1
G70317	Gschnitz	343	243	3	240	98	33	50	0	29	1	7	0	0	22	0
G70354	Hall in Tirol	9048	5762	78	5684	1291	1256	950	871	444	186	38	50	55	533	10
G70318	Hatting	887	615	12	603	196	152	77	67	42	12	1	0	2	54	0
G70319	Inzing	2631	1789	23	1766	511	321	251	267	145	56	8	8	17	179	3
G70320	Kematen in Tirol	1963	1370	13	1357	368	242	206	171	122	37	6	0	7	195	3
G70322	Kolsass	1137	798	6	792	231	141	155	88	60	10	1	3	12	91	0
