GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	NEOS	FLÖ	GILT	KPÖ	PILZ	WEIßE
G70623	See	940	655	4	651	359	66	188	4	17	0	8	3	6	0
G70624	Serfaus	861	571	5	566	344	46	87	21	46	1	2	3	14	2
G70625	Spiss	96	54	1	53	24	2	22	1	1	0	1	0	2	0
G70621	St. Anton am Arlberg	1770	1087	12	1075	577	128	154	40	127	3	12	4	29	1
G70626	Stanz bei Landeck	478	345	6	339	133	91	58	13	27	0	0	3	13	1
G70627	Strengen	964	693	9	684	276	206	143	9	25	0	2	5	17	1
G70628	Tobadill	406	279	1	278	138	45	71	5	7	1	5	1	4	1
G70629	Tösens	566	322	7	315	156	32	85	7	16	0	4	3	12	0
G70630	Zams	2681	1822	14	1808	714	451	336	73	141	3	10	6	66	8
G70701	Abfaltersbach	485	366	8	358	236	37	57	4	17	0	2	0	4	1
G70702	Ainet	770	511	4	507	224	61	159	16	20	1	5	1	20	0
G70703	Amlach	366	250	2	248	94	35	88	7	12	0	4	0	8	0
G70704	Anras	1000	702	11	691	396	89	150	16	28	0	0	0	12	0
G70705	Assling	1478	1071	17	1054	612	143	189	27	39	2	5	4	30	3
G70706	Außervillgraten	647	471	5	466	296	66	73	5	14	0	3	1	8	0
G70707	Dölsach	1860	1265	21	1244	491	232	358	37	67	2	10	6	37	4
G70708	Gaimberg	675	496	6	490	256	53	104	15	34	0	1	0	25	2
G70735	Heinfels	788	526	12	514	296	59	110	9	23	0	3	0	14	0
G70709	Hopfgarten in Defereggen	615	402	8	394	254	30	80	7	14	1	6	0	2	0
G70710	Innervillgraten	745	518	1	517	350	51	87	1	12	1	2	1	12	0
G70711	Iselsberg-Stronach	474	319	4	315	143	43	85	15	15	0	2	1	11	0
G70712	Kals am Großglockner	940	598	3	595	359	48	149	9	13	0	3	3	11	0
G70713	Kartitsch	653	424	0	424	307	26	64	6	9	0	0	2	10	0
G70714	Lavant	259	185	1	184	80	25	58	1	14	0	2	0	3	1
G70715	Leisach	600	401	5	396	176	77	89	14	18	0	2	5	15	0
G70716	Lienz	9584	5765	56	5709	1936	1502	1330	218	333	10	60	27	274	19
G70717	Matrei in Osttirol	3866	2575	29	2546	1093	250	919	57	151	1	9	8	55	3
G70718	Nikolsdorf	701	482	9	473	242	70	95	23	22	0	5	2	12	2
G70719	Nußdorf-Debant	2668	1788	21	1767	627	426	485	64	93	2	8	3	56	3
G70720	Oberlienz	1234	824	6	818	415	104	193	32	27	0	11	1	30	5
G70721	Obertilliach	567	375	6	369	239	19	81	6	10	1	0	1	9	3
G70723	Prägraten am Großvenediger	962	606	9	597	335	30	198	9	17	0	0	0	6	2
G70727	Schlaiten	393	269	2	267	131	25	78	3	13	1	3	1	10	2
G70728	Sillian	1683	1145	11	1134	608	182	235	20	62	2	9	2	14	0
G70724	St. Jakob in Defereggen	712	418	4	414	259	45	77	2	15	0	2	2	12	0
G70725	St. Johann im Walde	228	165	2	163	102	19	29	0	5	0	2	1	5	0
G70726	St. Veit in Defereggen	552	336	4	332	186	29	89	3	12	1	0	2	10	0
G70729	Strassen	642	462	6	456	265	63	80	15	22	0	0	2	9	0
G70731	Thurn	519	382	11	371	194	45	67	20	27	0	3	2	11	2
